dataset, model, explainer, RC, FA, RA, SA, SRA, PGU, PGI, RIS, ROS
compas,ann,ig,,,,,,0.67281437,0.34737384,45.27456645918813,1269.204600812577
compas,ann,ig,,,,,,0.40921968,0.4757363,79429.81244827324,2353960.894793121
compas,ann,ig,,,,,,0.43304324,0.28830862,28.503989449932313,2331.549693518211
compas,ann,ig,,,,,,0.07851143,0.17419654,29.548441033197147,1051.0034372574453
compas,ann,ig,,,,,,0.24167256,0.073635176,73258.00742199925,91818.83148487388
compas,ann,ig,,,,,,0.42299527,0.34889686,1033.497048858419,100566.4286187591
compas,ann,ig,,,,,,0.4238932,0.6354712,726.3168121729201,43624.99300738493
compas,ann,ig,,,,,,0.5135503,0.54381657,194.95188998457647,2136.425214591763
compas,ann,ig,,,,,,0.39103976,0.5505221,134.2185415641062,8954.610680599453
compas,ann,ig,,,,,,0.5196924,0.4120133,402.69131925994907,1232.2370365303686
compas,ann,ig,,,,,,0.081720546,0.19938794,228.9240757338477,1203.6510819943474
compas,ann,ig,,,,,,0.23712133,0.43872488,620.2268638595225,2054.033824286056
compas,ann,ig,,,,,,0.8849442,0.38552016,147.2047326342856,1534.974008343688
compas,ann,ig,,,,,,0.21670195,0.16797808,1208.9529415392735,7415315.998534801
compas,ann,ig,,,,,,0.003991046,0.02019092,8.96250716288462,831.2878110079987
compas,ann,ig,,,,,,0.35151085,0.4191955,891.8724244583362,2822.192825077489
compas,ann,ig,,,,,,0.29166365,0.40608394,148.20934529408342,1592.6105029747348
compas,ann,ig,,,,,,0.44526026,0.52023673,105010.65501695726,60179.40192633819
compas,ann,ig,,,,,,0.284707,0.20458958,190352.33993431125,43860.56788433591
compas,ann,ig,,,,,,0.100069046,0.2897058,40.57983374073798,1255.8525218700474
compas,ann,ig,,,,,,0.58642614,0.6257839,343.21441231443737,25129.26358419539
compas,ann,ig,,,,,,0.75242376,0.621772,81.33381881047272,2753.2527179822982
compas,ann,ig,,,,,,0.22080658,0.25199974,19.497338402204356,1014.0373550917734
compas,ann,ig,,,,,,0.056758735,0.08305731,15.111461269121975,18126.446832800208
compas,ann,ig,,,,,,0.3889996,0.4929294,1506516.9051347496,230231.0077753926
compas,ann,ig,,,,,,0.6675971,0.5314817,32.102916066494224,1471.9766622144755
compas,ann,ig,,,,,,0.20034948,0.22985417,3732044.4713489646,63282.02790676859
compas,ann,ig,,,,,,0.54589665,0.61502576,33.23338855993253,2773.1768288160465
compas,ann,ig,,,,,,0.82874936,0.5727347,53.840776875679055,1337.6710113789704
compas,ann,ig,,,,,,0.09066149,0.15795791,145.68296430339097,2084.1835090964614
compas,ann,ig,,,,,,0.5320357,0.52470785,261.1673704885071,2673.12569875055
compas,ann,ig,,,,,,0.16157125,0.11706626,79.94305805822056,972.0055178809914
compas,ann,ig,,,,,,0.5466635,0.4428273,856.7312732003012,49006.600094796195
compas,ann,ig,,,,,,0.6867917,0.51142323,124.3515104827741,4517.001290630744
compas,ann,ig,,,,,,0.7304065,0.40082765,778.6398088834911,638679.3995962122
compas,ann,ig,,,,,,0.66900176,0.42857933,683.8469003820574,10150.236491159878
compas,ann,ig,,,,,,0.3837648,0.43530434,682.1842461756862,24528.694523569677
compas,ann,ig,,,,,,0.57920486,0.47899348,1245.7785176413265,50554.818141722055
compas,ann,ig,,,,,,0.92203194,0.4810869,198.4950931403012,1888.7405207215584
compas,ann,ig,,,,,,0.046634115,0.23023215,12.135153016413016,12342.764863846307
